code,vout
0,0.000000000000
1,0.019607843137
2,0.039215686275
3,0.058823529412
4,0.078431372549
5,0.098039215686
6,0.117647058824
7,0.137254901961
8,0.156862745098
9,0.176470588235
10,0.196078431373
11,0.215686274510
12,0.235294117647
13,0.254901960784
14,0.274509803922
15,0.294117647059
16,0.313725490196
17,0.333333333333
18,0.352941176471
19,0.372549019608
20,0.392156862745
21,0.411764705882
22,0.431372549020
23,0.450980392157
24,0.470588235294
25,0.490196078431
26,0.509803921569
27,0.529411764706
28,0.549019607843
29,0.568627450980
30,0.588235294118
31,0.607843137255
32,0.627450980392
33,0.647058823529
34,0.666666666667
35,0.686274509804
36,0.705882352941
37,0.725490196078
38,0.745098039216
39,0.764705882353
40,0.784313725490
41,0.803921568627
42,0.823529411765
43,0.843137254902
44,0.862745098039
45,0.882352941176
46,0.901960784314
47,0.921568627451
48,0.941176470588
49,0.960784313725
50,0.980392156863
51,1.000000000000
52,1.019607843137
53,1.039215686275
54,1.058823529412
55,1.078431372549
56,1.098039215686
57,1.117647058824
58,1.137254901961
59,1.156862745098
60,1.176470588235
61,1.196078431373
62,1.215686274510
63,1.235294117647
64,1.254901960784
65,1.274509803922
66,1.294117647059
67,1.313725490196
68,1.333333333333
69,1.352941176471
70,1.372549019608
71,1.392156862745
72,1.411764705882
73,1.431372549020
74,1.450980392157
75,1.470588235294
76,1.490196078431
77,1.509803921569
78,1.529411764706
79,1.549019607843
80,1.568627450980
81,1.588235294118
82,1.607843137255
83,1.627450980392
84,1.647058823529
85,1.666666666667
86,1.686274509804
87,1.705882352941
88,1.725490196078
89,1.745098039216
90,1.764705882353
91,1.784313725490
92,1.803921568627
93,1.823529411765
94,1.843137254902
95,1.862745098039
96,1.882352941176
97,1.901960784314
98,1.921568627451
99,1.941176470588
100,1.960784313725
101,1.980392156863
102,2.000000000000
103,2.019607843137
104,2.039215686275
105,2.058823529412
106,2.078431372549
107,2.098039215686
108,2.117647058824
109,2.137254901961
110,2.156862745098
111,2.176470588235
112,2.196078431373
113,2.215686274510
114,2.235294117647
115,2.254901960784
116,2.274509803922
117,2.294117647059
118,2.313725490196
119,2.333333333333
120,2.352941176471
121,2.372549019608
122,2.392156862745
123,2.411764705882
124,2.431372549020
125,2.450980392157
126,2.470588235294
127,2.490196078431
128,2.509803921569
129,2.529411764706
130,2.549019607843
131,2.568627450980
132,2.588235294118
133,2.607843137255
134,2.627450980392
135,2.647058823529
136,2.666666666667
137,2.686274509804
138,2.705882352941
139,2.725490196078
140,2.745098039216
141,2.764705882353
142,2.784313725490
143,2.803921568627
144,2.823529411765
145,2.843137254902
146,2.862745098039
147,2.882352941176
148,2.901960784314
149,2.921568627451
150,2.941176470588
151,2.960784313725
152,2.980392156863
153,3.000000000000
154,3.019607843137
155,3.039215686275
156,3.058823529412
157,3.078431372549
158,3.098039215686
159,3.117647058824
160,3.137254901961
161,3.156862745098
162,3.176470588235
163,3.196078431373
164,3.215686274510
165,3.235294117647
166,3.254901960784
167,3.274509803922
168,3.294117647059
169,3.313725490196
170,3.333333333333
171,3.352941176471
172,3.372549019608
173,3.392156862745
174,3.411764705882
175,3.431372549020
176,3.450980392157
177,3.470588235294
178,3.490196078431
179,3.509803921569
180,3.529411764706
181,3.549019607843
182,3.568627450980
183,3.588235294118
184,3.607843137255
185,3.627450980392
186,3.647058823529
187,3.666666666667
188,3.686274509804
189,3.705882352941
190,3.725490196078
191,3.745098039216
192,3.764705882353
193,3.784313725490
194,3.803921568627
195,3.823529411765
196,3.843137254902
197,3.862745098039
198,3.882352941176
199,3.901960784314
200,3.921568627451
201,3.941176470588
202,3.960784313725
203,3.980392156863
204,4.000000000000
205,4.019607843137
206,4.039215686275
207,4.058823529412
208,4.078431372549
209,4.098039215686
210,4.117647058824
211,4.137254901961
212,4.156862745098
213,4.176470588235
214,4.196078431373
215,4.215686274510
216,4.235294117647
217,4.254901960784
218,4.274509803922
219,4.294117647059
220,4.313725490196
221,4.333333333333
222,4.352941176471
223,4.372549019608
224,4.392156862745
225,4.411764705882
226,4.431372549020
227,4.450980392157
228,4.470588235294
229,4.490196078431
230,4.509803921569
231,4.529411764706
232,4.549019607843
233,4.568627450980
234,4.588235294118
235,4.607843137255
236,4.627450980392
237,4.647058823529
238,4.666666666667
239,4.686274509804
240,4.705882352941
241,4.725490196078
242,4.745098039216
243,4.764705882353
244,4.784313725490
245,4.803921568627
246,4.823529411765
247,4.843137254902
248,4.862745098039
249,4.882352941176
250,4.901960784314
251,4.921568627451
252,4.941176470588
253,4.960784313725
254,4.980392156863
255,5.000000000000
